seq,stdDay,gubun,gubunCn,gubunEn,deathCnt,incDec,isolClearCnt,qurRate,defCnt,isolIngCnt,overFlowCnt,localOccCnt,createDt,updateDt
23911,2023년 04월 20일 00시,검역,隔離區,Lazaretto,16.0,9.0,,-,17893.0,,9.0,0.0,2023-04-20 04:32:41.0,null
23910,2023년 04월 20일 00시,제주,济州,Jeju,274.0,169.0,,58097,393987.0,,0.0,169.0,2023-04-20 04:32:41.0,null
23909,2023년 04월 20일 00시,경남,庆南,Gyeongsangnam-do,1960.0,485.0,,56516,1853993.0,,0.0,485.0,2023-04-20 04:32:41.0,null
23908,2023년 04월 20일 00시,경북,庆北,Gyeongsangbuk-do,2097.0,471.0,,54642,1420954.0,,1.0,470.0,2023-04-20 04:32:41.0,null
23907,2023년 04월 20일 00시,전남,全南,Jeollanam-do,995.0,453.0,,55843,1015055.0,,0.0,453.0,2023-04-20 04:32:41.0,null
23906,2023년 04월 20일 00시,전북,全北,Jeollabuk-do,1226.0,431.0,,58968,1043499.0,,2.0,429.0,2023-04-20 04:32:41.0,null
23905,2023년 04월 20일 00시,충남,忠南,Chungcheongnam-do,1576.0,588.0,,59167,1256144.0,,0.0,588.0,2023-04-20 04:32:41.0,null
23904,2023년 04월 20일 00시,충북,忠北,Chungcheongbuk-do,1043.0,415.0,,61055,973866.0,,0.0,415.0,2023-04-20 04:32:41.0,null
23903,2023년 04월 20일 00시,강원,江原,Gangwon-do,1326.0,420.0,,59272,910708.0,,0.0,420.0,2023-04-20 04:32:41.0,null
23902,2023년 04월 20일 00시,경기,京畿,Gyeonggi-do,8390.0,4164.0,,61793,8397346.0,,0.0,4164.0,2023-04-20 04:32:41.0,null
23901,2023년 04월 20일 00시,세종,世宗,Sejong,56.0,119.0,,64412,247079.0,,0.0,119.0,2023-04-20 04:32:41.0,null
23900,2023년 04월 20일 00시,울산,蔚山,Ulsan,531.0,119.0,,59468,660486.0,,0.0,119.0,2023-04-20 04:32:41.0,null
23899,2023년 04월 20일 00시,대전,大田,Daejeon,947.0,443.0,,62644,905873.0,,0.0,443.0,2023-04-20 04:32:41.0,null
23898,2023년 04월 20일 00시,광주,光州,Gwangju,825.0,433.0,,63206,904507.0,,0.0,433.0,2023-04-20 04:32:41.0,null
23897,2023년 04월 20일 00시,인천,仁川,Incheon,1898.0,887.0,,60795,1803987.0,,7.0,880.0,2023-04-20 04:32:41.0,null
23896,2023년 04월 20일 00시,대구,大邱,Daegu,1997.0,399.0,,57268,1353628.0,,3.0,396.0,2023-04-20 04:32:41.0,null
23895,2023년 04월 20일 00시,부산,釜山,Busan,2832.0,405.0,,55363,1836854.0,,0.0,405.0,2023-04-20 04:32:41.0,null
23894,2023년 04월 20일 00시,서울,首尔,Seoul,6412.0,3684.0,,64104,6044004.0,,0.0,3684.0,2023-04-20 04:32:41.0,null
23893,2023년 04월 20일 00시,합계,合计,Total,34401.0,14094.0,,60343,31039863.0,,22.0,14072.0,2023-04-20 04:32:41.0,null
23892,2023년 04월 19일 00시,검역,隔離區,Lazaretto,16.0,14.0,,-,17884.0,,14.0,0.0,2023-04-19 00:23:24.0,null
23891,2023년 04월 19일 00시,제주,济州,Jeju,274.0,203.0,,58072,393818.0,,1.0,202.0,2023-04-19 00:23:24.0,null
23890,2023년 04월 19일 00시,경남,庆南,Gyeongsangnam-do,1959.0,564.0,,56501,1853508.0,,1.0,563.0,2023-04-19 00:23:24.0,null
23889,2023년 04월 19일 00시,경북,庆北,Gyeongsangbuk-do,2097.0,511.0,,54624,1420483.0,,1.0,510.0,2023-04-19 00:23:24.0,null
23888,2023년 04월 19일 00시,전남,全南,Jeollanam-do,995.0,516.0,,55818,1014602.0,,0.0,516.0,2023-04-19 00:23:24.0,null
23887,2023년 04월 19일 00시,전북,全北,Jeollabuk-do,1226.0,537.0,,58943,1043068.0,,0.0,537.0,2023-04-19 00:23:24.0,null
23886,2023년 04월 19일 00시,충남,忠南,Chungcheongnam-do,1576.0,743.0,,59140,1255556.0,,0.0,743.0,2023-04-19 00:23:24.0,null
23885,2023년 04월 19일 00시,충북,忠北,Chungcheongbuk-do,1041.0,507.0,,61029,973451.0,,1.0,506.0,2023-04-19 00:23:24.0,null
23884,2023년 04월 19일 00시,강원,江原,Gangwon-do,1326.0,417.0,,59244,910288.0,,1.0,416.0,2023-04-19 00:23:24.0,null
23883,2023년 04월 19일 00시,경기,京畿,Gyeonggi-do,8388.0,4873.0,,61763,8393182.0,,4.0,4869.0,2023-04-19 00:23:24.0,null
23882,2023년 04월 19일 00시,세종,世宗,Sejong,56.0,148.0,,64381,246960.0,,0.0,148.0,2023-04-19 00:23:24.0,null
23881,2023년 04월 19일 00시,울산,蔚山,Ulsan,531.0,138.0,,59457,660367.0,,2.0,136.0,2023-04-19 00:23:24.0,null
23880,2023년 04월 19일 00시,대전,大田,Daejeon,947.0,489.0,,62613,905430.0,,0.0,489.0,2023-04-19 00:23:24.0,null
23879,2023년 04월 19일 00시,광주,光州,Gwangju,825.0,562.0,,63176,904074.0,,2.0,560.0,2023-04-19 00:23:24.0,null
23878,2023년 04월 19일 00시,인천,仁川,Incheon,1898.0,1083.0,,60765,1803100.0,,1.0,1082.0,2023-04-19 00:23:24.0,null
23877,2023년 04월 19일 00시,대구,大邱,Daegu,1997.0,513.0,,57251,1353229.0,,3.0,510.0,2023-04-19 00:23:24.0,null
23876,2023년 04월 19일 00시,부산,釜山,Busan,2830.0,437.0,,55351,1836449.0,,0.0,437.0,2023-04-19 00:23:24.0,null
23875,2023년 04월 19일 00시,서울,首尔,Seoul,6410.0,4253.0,,64065,6040320.0,,3.0,4250.0,2023-04-19 00:23:24.0,null
23874,2023년 04월 19일 00시,합계,合计,Total,34392.0,16508.0,,60316,31025769.0,,34.0,16474.0,2023-04-19 00:23:24.0,null
